epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,104.725,1.17678,0.87662,0.92063,0.82094,0.55751,0.57522,0.31984,4.30994,3.02616,4.55994,0.000813601,0.000813601,0.000813601
89,105.846,1.11722,0.8385,0.90552,0.82094,0.55751,0.57522,0.31984,4.30994,3.02616,4.55994,0.000806528,0.000806528,0.000806528
90,106.987,1.16662,1.10926,0.97193,0.81813,0.551,0.57611,0.303,4.36616,3.04726,4.6369,0.000799454,0.000799454,0.000799454
91,108.104,1.2074,0.87101,0.95528,0.81813,0.551,0.57611,0.303,4.36616,3.04726,4.6369,0.00079238,0.00079238,0.00079238
92,109.262,1.14528,0.92209,0.93565,0.82475,0.53988,0.55701,0.27798,4.44305,3.16135,4.6233,0.000785307,0.000785307,0.000785307
93,110.397,1.41706,0.94097,0.91752,0.82475,0.53988,0.55701,0.27798,4.44305,3.16135,4.6233,0.000778233,0.000778233,0.000778233
94,111.54,1.11992,1.00535,0.9065,0.82086,0.53244,0.54526,0.28436,4.43591,3.22815,4.56649,0.00077116,0.00077116,0.00077116
95,112.643,1.20681,0.85607,0.96527,0.82086,0.53244,0.54526,0.28436,4.43591,3.22815,4.56649,0.000764086,0.000764086,0.000764086
96,113.796,1.04287,1.02937,0.92137,0.84178,0.53794,0.58338,0.32148,4.38743,3.1609,4.61833,0.000757013,0.000757013,0.000757013
97,114.921,1.36342,0.98687,0.89489,0.84178,0.53794,0.58338,0.32148,4.38743,3.1609,4.61833,0.000749939,0.000749939,0.000749939
98,116.066,1.21902,0.8954,0.99361,0.80742,0.53964,0.57584,0.31614,4.34915,3.13735,4.82411,0.000742866,0.000742866,0.000742866
99,117.175,1.17027,0.82084,0.94438,0.80742,0.53964,0.57584,0.31614,4.34915,3.13735,4.82411,0.000735792,0.000735792,0.000735792
100,118.376,1.31226,0.86549,0.93159,0.76699,0.55172,0.58408,0.32019,4.25672,3.11355,5.02373,0.000728719,0.000728719,0.000728719
101,119.482,1.07452,1.00041,0.89838,0.76699,0.55172,0.58408,0.32019,4.25672,3.11355,5.02373,0.000721645,0.000721645,0.000721645
102,120.617,1.25161,0.83716,0.86804,0.81802,0.51761,0.57168,0.32115,4.23091,3.12469,5.32282,0.000714571,0.000714571,0.000714571
103,121.715,1.05235,0.79646,0.92099,0.81802,0.51761,0.57168,0.32115,4.23091,3.12469,5.32282,0.000707498,0.000707498,0.000707498
104,122.853,1.37231,0.97708,0.9333,0.80619,0.50852,0.56033,0.32224,4.22781,3.08076,5.41653,0.000700424,0.000700424,0.000700424
105,124.03,1.26489,1.07254,0.99292,0.80619,0.50852,0.56033,0.32224,4.22781,3.08076,5.41653,0.000693351,0.000693351,0.000693351
106,125.156,1.10208,0.74271,0.90329,0.83726,0.51476,0.56753,0.3335,4.25714,3.02952,5.33703,0.000686277,0.000686277,0.000686277
107,126.298,1.09199,0.81147,0.92371,0.83726,0.51476,0.56753,0.3335,4.25714,3.02952,5.33703,0.000679204,0.000679204,0.000679204
108,127.451,1.16422,0.78743,0.98349,0.86378,0.53955,0.5869,0.35288,4.35462,3.01332,5.32698,0.00067213,0.00067213,0.00067213
109,128.56,1.1132,0.86388,0.8937,0.86378,0.53955,0.5869,0.35288,4.35462,3.01332,5.32698,0.000665057,0.000665057,0.000665057
110,129.718,1.06995,0.81899,0.94821,0.81481,0.54032,0.59334,0.35622,4.3685,2.90967,5.38678,0.000657983,0.000657983,0.000657983
111,130.838,1.08016,1.0528,0.96333,0.81481,0.54032,0.59334,0.35622,4.3685,2.90967,5.38678,0.000650909,0.000650909,0.000650909
112,131.991,1.21437,0.81626,0.92286,0.86041,0.53,0.58978,0.35014,4.36309,2.83804,5.37627,0.000643836,0.000643836,0.000643836
113,133.105,1.63598,1.08411,0.99974,0.86041,0.53,0.58978,0.35014,4.36309,2.83804,5.37627,0.000636762,0.000636762,0.000636762
114,134.321,1.29502,1.99544,1.07738,0.83236,0.53051,0.59063,0.34739,4.35784,2.79002,5.26033,0.000629689,0.000629689,0.000629689
115,135.433,1.19361,0.893,0.89048,0.83236,0.53051,0.59063,0.34739,4.35784,2.79002,5.26033,0.000622615,0.000622615,0.000622615
116,136.571,1.01211,0.7526,0.90467,0.77826,0.54963,0.58685,0.34508,4.31189,2.72227,5.25517,0.000615542,0.000615542,0.000615542
117,137.688,1.52263,0.98625,0.91847,0.77826,0.54963,0.58685,0.34508,4.31189,2.72227,5.25517,0.000608468,0.000608468,0.000608468
118,138.838,1.03685,0.76901,0.88901,0.72574,0.55043,0.57161,0.33862,4.30253,2.67173,5.20754,0.000601395,0.000601395,0.000601395
119,139.935,1.04306,0.76696,0.87256,0.72574,0.55043,0.57161,0.33862,4.30253,2.67173,5.20754,0.000594321,0.000594321,0.000594321
120,141.077,1.13683,0.91594,0.92057,0.67441,0.51771,0.5578,0.32109,4.34095,2.65978,5.1509,0.000587248,0.000587248,0.000587248
121,142.236,1.35147,1.00928,1.02602,0.67441,0.51771,0.5578,0.32109,4.34095,2.65978,5.1509,0.000580174,0.000580174,0.000580174
122,143.423,1.50649,3.67413,0.96119,0.65789,0.52335,0.55594,0.31658,4.41504,2.64441,5.00764,0.0005731,0.0005731,0.0005731
123,144.535,0.99844,0.76841,0.86614,0.65789,0.52335,0.55594,0.31658,4.41504,2.64441,5.00764,0.000566027,0.000566027,0.000566027
124,145.673,1.03281,0.83155,0.9302,0.68697,0.52376,0.55474,0.32409,4.43575,2.61799,4.99122,0.000558953,0.000558953,0.000558953
125,146.776,1.07028,0.79075,0.90102,0.68697,0.52376,0.55474,0.32409,4.43575,2.61799,4.99122,0.00055188,0.00055188,0.00055188
126,147.912,1.1292,1.02392,0.96849,0.701,0.54567,0.55795,0.33639,4.43225,2.62224,4.99039,0.000544806,0.000544806,0.000544806
127,149.034,1.17188,0.79068,0.93074,0.701,0.54567,0.55795,0.33639,4.43225,2.62224,4.99039,0.000537733,0.000537733,0.000537733
128,150.198,1.09909,0.80308,0.91042,0.75676,0.52936,0.56922,0.34085,4.45273,2.65307,5.01542,0.000530659,0.000530659,0.000530659
129,151.322,1.16355,0.88418,0.87283,0.75676,0.52936,0.56922,0.34085,4.45273,2.65307,5.01542,0.000523586,0.000523586,0.000523586
130,152.481,1.37114,0.9699,0.9968,0.78064,0.5533,0.58355,0.34181,4.47124,2.69336,5.01237,0.000516512,0.000516512,0.000516512
131,153.594,1.00227,0.7501,0.87986,0.78064,0.5533,0.58355,0.34181,4.47124,2.69336,5.01237,0.000509438,0.000509438,0.000509438
132,154.744,1.1569,0.7998,0.89115,0.8025,0.5572,0.58287,0.34075,4.48364,2.73521,4.99402,0.000502365,0.000502365,0.000502365
133,155.864,0.97392,0.78312,0.90959,0.8025,0.5572,0.58287,0.34075,4.48364,2.73521,4.99402,0.000495291,0.000495291,0.000495291
134,157.02,0.85651,0.77571,0.89929,0.82963,0.55896,0.58948,0.3418,4.48978,2.79874,4.96853,0.000488218,0.000488218,0.000488218
135,158.185,1.05731,0.76348,0.86977,0.82963,0.55896,0.58948,0.3418,4.48978,2.79874,4.96853,0.000481144,0.000481144,0.000481144
136,159.334,0.95825,0.69505,0.89328,0.85855,0.54298,0.5869,0.34568,4.489,2.9091,4.93228,0.000474071,0.000474071,0.000474071
137,160.472,1.07516,0.77721,0.90497,0.85855,0.54298,0.5869,0.34568,4.489,2.9091,4.93228,0.000466997,0.000466997,0.000466997
138,161.626,1.19457,0.86924,0.8639,0.85736,0.54904,0.58182,0.34618,4.47989,3.04495,4.89583,0.000459924,0.000459924,0.000459924
139,162.739,1.35849,0.87793,0.90877,0.85736,0.54904,0.58182,0.34618,4.47989,3.04495,4.89583,0.00045285,0.00045285,0.00045285
140,163.896,1.1165,0.7661,0.88926,0.8504,0.55919,0.57951,0.34603,4.48254,3.08347,4.89311,0.000445777,0.000445777,0.000445777
141,165.021,1.0674,0.77048,0.88927,0.8504,0.55919,0.57951,0.34603,4.48254,3.08347,4.89311,0.000438703,0.000438703,0.000438703
142,166.196,0.9595,0.80494,0.85576,0.84788,0.53692,0.56932,0.3387,4.489,3.2045,4.88003,0.000431629,0.000431629,0.000431629
143,167.325,1.31976,1.12011,1.0775,0.84788,0.53692,0.56932,0.3387,4.489,3.2045,4.88003,0.000424556,0.000424556,0.000424556
144,168.475,1.05216,0.7133,0.94519,0.8582,0.53405,0.56562,0.33435,4.5013,3.23231,4.87794,0.000417482,0.000417482,0.000417482
145,169.603,0.92999,0.71552,0.85539,0.8582,0.53405,0.56562,0.33435,4.5013,3.23231,4.87794,0.000410409,0.000410409,0.000410409
146,170.75,1.12318,0.74877,0.89845,0.83931,0.55099,0.56691,0.33493,4.49876,3.22955,4.86042,0.000403335,0.000403335,0.000403335
147,171.91,1.16786,0.82326,0.87709,0.83931,0.55099,0.56691,0.33493,4.49876,3.22955,4.86042,0.000396262,0.000396262,0.000396262
148,173.075,0.98583,0.71984,0.87313,0.81946,0.55454,0.57437,0.3378,4.5016,3.15567,4.85225,0.000389188,0.000389188,0.000389188
149,174.247,1.06807,0.75877,0.85459,0.81946,0.55454,0.57437,0.3378,4.5016,3.15567,4.85225,0.000382115,0.000382115,0.000382115
150,175.419,1.12351,0.77956,0.87898,0.85005,0.57115,0.58535,0.34678,4.48713,3.07698,4.84785,0.000375041,0.000375041,0.000375041
151,176.549,1.01432,0.70381,0.87705,0.85005,0.57115,0.58535,0.34678,4.48713,3.07698,4.84785,0.000367967,0.000367967,0.000367967
152,177.682,1.0033,0.76427,0.85519,0.87009,0.57621,0.59019,0.3411,4.47818,3.01353,4.84254,0.000360894,0.000360894,0.000360894
153,178.813,1.03398,0.76128,0.89553,0.87009,0.57621,0.59019,0.3411,4.47818,3.01353,4.84254,0.00035382,0.00035382,0.00035382
154,179.975,0.9756,0.72206,0.86942,0.87285,0.57594,0.59674,0.3412,4.469,2.92989,4.8566,0.000346747,0.000346747,0.000346747
155,181.1,0.94367,0.74608,0.93478,0.87285,0.57594,0.59674,0.3412,4.469,2.92989,4.8566,0.000339673,0.000339673,0.000339673
156,182.262,1.52226,0.93245,0.90811,0.8749,0.57604,0.597,0.33968,4.46611,2.8539,4.85704,0.0003326,0.0003326,0.0003326
157,183.408,0.90201,0.65674,0.85644,0.8749,0.57604,0.597,0.33968,4.46611,2.8539,4.85704,0.000325526,0.000325526,0.000325526
158,184.551,1.04758,0.75295,0.88805,0.86226,0.57553,0.59467,0.33958,4.45225,2.82033,4.84379,0.000318453,0.000318453,0.000318453
159,185.67,0.99935,0.79808,0.88415,0.86226,0.57553,0.59467,0.33958,4.45225,2.82033,4.84379,0.000311379,0.000311379,0.000311379
160,186.808,0.96607,0.67473,0.89057,0.80889,0.575,0.58965,0.3392,4.44907,2.82913,4.85486,0.000304306,0.000304306,0.000304306
161,187.926,1.30019,1.00303,0.97329,0.80889,0.575,0.58965,0.3392,4.44907,2.82913,4.85486,0.000297232,0.000297232,0.000297232
162,189.058,1.11988,2.04253,0.99263,0.79317,0.55897,0.57998,0.33094,4.4488,2.8486,4.86841,0.000290158,0.000290158,0.000290158
163,190.193,1.42451,1.36983,0.99994,0.79317,0.55897,0.57998,0.33094,4.4488,2.8486,4.86841,0.000283085,0.000283085,0.000283085
164,191.371,1.38612,1.13438,1.08611,0.77492,0.53305,0.57049,0.32803,4.45405,2.8461,4.85083,0.000276011,0.000276011,0.000276011
165,192.485,1.01708,0.75018,0.93545,0.77492,0.53305,0.57049,0.32803,4.45405,2.8461,4.85083,0.000268938,0.000268938,0.000268938
166,193.655,0.85821,0.67255,0.83885,0.75388,0.53838,0.56875,0.33185,4.45657,2.84735,4.85497,0.000261864,0.000261864,0.000261864
167,194.791,1.00631,0.72231,0.89751,0.75388,0.53838,0.56875,0.33185,4.45657,2.84735,4.85497,0.000254791,0.000254791,0.000254791
168,195.958,1.42395,0.90129,0.91463,0.70397,0.57733,0.57003,0.32985,4.4581,2.84047,4.87113,0.000247717,0.000247717,0.000247717
169,197.123,0.86715,0.64969,0.91064,0.70397,0.57733,0.57003,0.32985,4.4581,2.84047,4.87113,0.000240644,0.000240644,0.000240644
170,198.281,0.86988,0.70297,0.87425,0.71203,0.57568,0.56821,0.32364,4.45726,2.86016,4.87902,0.00023357,0.00023357,0.00023357
171,199.378,1.11237,0.73665,0.89087,0.71203,0.57568,0.56821,0.32364,4.45726,2.86016,4.87902,0.000226497,0.000226497,0.000226497
172,200.549,1.17273,0.84566,0.87582,0.71288,0.59031,0.57398,0.33356,4.44911,2.89417,4.88011,0.000219423,0.000219423,0.000219423
173,201.654,1.03624,0.7298,0.866,0.71288,0.59031,0.57398,0.33356,4.44911,2.89417,4.88011,0.000212349,0.000212349,0.000212349
174,202.796,1.15356,0.75331,0.85187,0.71366,0.58713,0.57191,0.3362,4.44414,2.908,4.88906,0.000205276,0.000205276,0.000205276
175,203.899,0.93906,0.71788,0.85177,0.71366,0.58713,0.57191,0.3362,4.44414,2.908,4.88906,0.000198202,0.000198202,0.000198202
176,205.058,1.04857,0.68145,0.85343,0.77556,0.56265,0.57476,0.33999,4.44988,2.90488,4.88087,0.000191129,0.000191129,0.000191129
177,206.183,1.04409,0.73394,0.98526,0.77556,0.56265,0.57476,0.33999,4.44988,2.90488,4.88087,0.000184055,0.000184055,0.000184055
178,207.334,0.93677,0.74255,0.91818,0.75964,0.56063,0.56354,0.33699,4.44377,2.94552,4.88938,0.000176982,0.000176982,0.000176982
179,208.439,1.14074,0.75469,0.87879,0.75964,0.56063,0.56354,0.33699,4.44377,2.94552,4.88938,0.000169908,0.000169908,0.000169908
180,209.602,1.26783,0.82408,0.90648,0.79583,0.55844,0.57565,0.33675,4.43418,2.96562,4.90419,0.000162835,0.000162835,0.000162835
181,210.72,0.98599,0.75438,0.8703,0.79583,0.55844,0.57565,0.33675,4.43418,2.96562,4.90419,0.000155761,0.000155761,0.000155761
182,211.86,0.99724,0.79759,0.90522,0.80032,0.55613,0.57706,0.3409,4.43001,2.93082,4.89258,0.000148687,0.000148687,0.000148687
